                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.5108,                0.63668,                0.50553,                0.79822,                 0.9816,                0.98365,                0.99317,                0.90708,                0.98076,                0.98278,                0.99264,                0.68253,                0.41199,                0.57582,                0.43491,                0.78583,              0.0005248,              0.0005248,              0.0005248
                     26,                0.49853,                0.62185,                0.48622,                 0.7993,                 0.9795,                0.98477,                0.99324,                0.91547,                0.97844,                0.98371,                0.99198,                0.70465,                0.39831,                0.52166,                0.42914,                0.78499,               0.000505,               0.000505,               0.000505
                     27,                0.48545,                0.61676,                0.48535,                 0.7971,                0.98185,                0.98116,                0.99308,                0.91521,                0.98093,                0.98024,                0.99224,                0.70832,                0.39926,                 0.5334,                0.42881,                0.78568,              0.0004852,              0.0004852,              0.0004852
                     28,                0.49032,                0.59912,                0.47986,                 0.7968,                0.98046,                0.98407,                  0.993,                0.90903,                0.97916,                0.98276,                0.99203,                0.72247,                0.41819,                0.51976,                0.43344,                 0.7855,              0.0004654,              0.0004654,              0.0004654
                     29,                0.50033,                0.60873,                0.48593,                0.79587,                 0.9804,                0.98028,                0.99283,                0.91633,                0.97988,                0.97976,                0.99261,                0.70321,                0.39272,                0.52703,                0.41986,                0.78418,              0.0004456,              0.0004456,              0.0004456
                     30,                0.47705,                0.59682,                0.47072,                0.79518,                 0.9838,                0.98413,                0.99338,                0.92121,                0.98348,                0.98381,                0.99321,                0.71146,                0.38479,                  0.525,                0.41153,                0.78401,              0.0004258,              0.0004258,              0.0004258
                     31,                0.47797,                0.59703,                0.47413,                0.79684,                 0.9809,                0.98345,                0.99357,                0.91219,                0.97997,                0.98252,                0.99223,                0.69361,                0.39948,                0.55493,                0.42842,                 0.7847,               0.000406,               0.000406,               0.000406
                     32,                0.49227,                0.61206,                0.47332,                0.79572,                0.98094,                0.98136,                0.99282,                0.91979,                0.98082,                0.98124,                0.99294,                0.71505,                0.39236,                 0.5277,                0.41754,                0.78408,              0.0003862,              0.0003862,              0.0003862
                     33,                0.47861,                0.59982,                0.46534,                0.79494,                0.98309,                0.98597,                0.99322,                0.92123,                0.98331,                0.98575,                0.99343,                0.71602,                0.38973,                0.54065,                0.41563,                0.78291,              0.0003664,              0.0003664,              0.0003664
                     34,                0.46773,                 0.5957,                0.46395,                0.79446,                0.98314,                0.98495,                 0.9934,                0.92411,                0.98243,                0.98418,                0.99276,                0.70572,                0.38195,                0.50888,                0.40939,                0.78325,              0.0003466,              0.0003466,              0.0003466
                     35,                0.46661,                0.57905,                0.45742,                0.79487,                0.97957,                0.98703,                0.99333,                0.92366,                0.97872,                0.98617,                0.99305,                0.70619,                0.38276,                0.53139,                0.40448,                 0.7837,              0.0003268,              0.0003268,              0.0003268
                     36,                 0.4541,                0.56648,                0.45038,                0.79418,                0.98376,                0.98821,                0.99309,                0.92362,                 0.9829,                0.98735,                 0.9927,                0.70443,                0.37607,                0.53319,                0.40371,                0.78351,               0.000307,               0.000307,               0.000307
                     37,                0.45782,                0.57813,                0.45508,                0.79602,                0.98128,                0.98132,                0.99271,                0.92378,                0.98158,                0.98119,                0.99256,                0.71256,                0.37458,                0.49701,                0.40441,                0.78281,              0.0002872,              0.0002872,              0.0002872
                     38,                0.44928,                 0.5682,                0.44923,                0.79284,                0.98547,                0.98073,                0.99287,                0.92518,                0.98495,                0.98022,                0.99263,                0.70854,                0.36898,                0.49433,                0.40019,                0.78164,              0.0002674,              0.0002674,              0.0002674
                     39,                0.44861,                 0.5583,                0.44457,                0.79303,                0.98699,                0.98446,                 0.9938,                0.92515,                0.98688,                0.98434,                0.99375,                0.71426,                0.36755,                0.50609,                0.39563,                0.78163,              0.0002476,              0.0002476,              0.0002476
                     40,                0.44216,                0.55713,                0.43953,                0.79305,                0.98277,                0.98796,                 0.9933,                0.92736,                0.98118,                0.98623,                0.99234,                0.70996,                0.36537,                0.49876,                0.39215,                 0.7821,              0.0002278,              0.0002278,              0.0002278
                     41,                0.44189,                0.57543,                0.47546,                0.78592,                0.98001,                0.98519,                0.99226,                0.92242,                0.98022,                0.98488,                0.99233,                0.71158,                 0.3804,                0.51837,                 0.4167,                0.78143,               0.000208,               0.000208,               0.000208
                     42,                0.42229,                0.53842,                0.44079,                0.78572,                0.98015,                0.98828,                0.99328,                0.91934,                0.98018,                0.98713,                0.99314,                0.70185,                0.38486,                0.51343,                0.41618,                  0.782,              0.0001882,              0.0001882,              0.0001882
                     43,                0.41364,                0.53893,                0.43076,                0.78559,                0.98725,                0.98122,                0.99343,                0.92437,                0.98693,                 0.9809,                0.99335,                0.70968,                0.37574,                0.50739,                0.40357,                0.78117,              0.0001684,              0.0001684,              0.0001684
                     44,                0.40933,                0.52908,                0.42312,                0.78564,                0.98533,                0.98281,                0.99344,                0.92455,                0.98478,                0.98236,                0.99293,                0.69976,                0.37962,                0.50733,                0.40257,                0.78164,              0.0001486,              0.0001486,              0.0001486
                     45,                 0.4055,                0.52532,                0.42356,                0.78601,                0.98475,                0.98523,                0.99373,                0.92966,                0.98402,                 0.9845,                0.99287,                0.70693,                0.36316,                0.48877,                0.39601,                0.78077,              0.0001288,              0.0001288,              0.0001288
                     46,                0.39477,                0.52011,                0.41205,                0.78547,                0.98679,                0.98589,                0.99324,                 0.9311,                0.98605,                0.98517,                0.99263,                0.71452,                0.36104,                0.48214,                0.38629,                 0.7809,               0.000109,               0.000109,               0.000109
                     47,                0.39658,                0.51495,                0.41136,                0.78495,                0.98405,                0.98752,                0.99294,                0.92974,                0.98309,                0.98616,                0.99222,                0.71955,                0.35993,                0.48142,                0.38417,                0.78029,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.38638,                0.51271,                0.40728,                0.78392,                0.98767,                0.98374,                0.99339,                0.93082,                0.98714,                0.98322,                0.99296,                0.71888,                0.35871,                0.48292,                0.38058,                0.78068,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.38119,                0.50397,                0.40165,                0.78441,                 0.9875,                0.98362,                0.99337,                0.93186,                0.98677,                 0.9829,                0.99299,                0.71804,                0.35456,                0.47626,                0.37947,                0.78023,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.38481,                0.51037,                0.40545,                 0.7841,                0.98291,                0.98847,                0.99318,                0.93306,                0.98217,                0.98775,                0.99286,                0.71309,                0.35214,                0.48599,                0.37862,                0.78016,               2.98e-05,               2.98e-05,               2.98e-05
